best_val,metric,model,seed,split,task,value
0.665,final_answer_accuracy,direct,0,iid,parity,0.6676666666666666
0.665,final_answer_accuracy,direct,0,ood_length,parity,0.5
0.665,final_answer_accuracy,direct,0,shift_biased_p02,parity,0.7893333333333333
0.665,final_answer_accuracy,direct,0,shift_biased_p08,parity,0.593
0.665,final_answer_accuracy,direct,0,shift_alternating,parity,0.6816666666666666
0.665,final_answer_accuracy,direct,0,shift_zero_runs,parity,0.8023333333333333
0.665,final_answer_accuracy,direct,0,shift_one_runs,parity,0.614
0.665,linear_probe_dfa_state_accuracy,direct,0,analysis_val,parity,0.5388138578978274
1.0,state_accuracy,cot_true,0,iid,parity,0.999961032635168
1.0,final_answer_accuracy,cot_true,0,iid,parity,0.9993333333333333
1.0,transition_consistency,cot_true,0,iid,parity,0.999941819874331
1.0,state_accuracy,cot_true,0,ood_length,parity,0.8306295906939033
1.0,final_answer_accuracy,cot_true,0,ood_length,parity,0.49566666666666664
1.0,transition_consistency,cot_true,0,ood_length,parity,0.828627169113872
1.0,state_accuracy,cot_true,0,shift_biased_p02,parity,0.999960922998769
1.0,final_answer_accuracy,cot_true,0,shift_biased_p02,parity,0.9993333333333333
1.0,transition_consistency,cot_true,0,shift_biased_p02,parity,0.9999417995576766
1.0,state_accuracy,cot_true,0,shift_biased_p08,parity,1.0
1.0,final_answer_accuracy,cot_true,0,shift_biased_p08,parity,1.0
1.0,transition_consistency,cot_true,0,shift_biased_p08,parity,1.0
1.0,state_accuracy,cot_true,0,shift_alternating,parity,1.0
1.0,final_answer_accuracy,cot_true,0,shift_alternating,parity,1.0
1.0,transition_consistency,cot_true,0,shift_alternating,parity,1.0
1.0,state_accuracy,cot_true,0,shift_zero_runs,parity,0.9999624053083704
1.0,final_answer_accuracy,cot_true,0,shift_zero_runs,parity,0.9993333333333333
1.0,transition_consistency,cot_true,0,shift_zero_runs,parity,1.0
1.0,state_accuracy,cot_true,0,shift_one_runs,parity,0.999941290436212
1.0,final_answer_accuracy,cot_true,0,shift_one_runs,parity,0.999
1.0,transition_consistency,cot_true,0,shift_one_runs,parity,0.9999404761904762
1.0,linear_probe_dfa_state_accuracy,cot_true,0,analysis_val,parity,1.0
0.6193834165419771,state_accuracy,cot_pad,0,iid,parity,0.6169897710667316
0.6193834165419771,final_answer_accuracy,cot_pad,0,iid,parity,0.5493333333333333
0.6193834165419771,transition_consistency,cot_pad,0,iid,parity,0.7017686758203397
0.6193834165419771,state_accuracy,cot_pad,0,ood_length,parity,0.543696191398869
0.6193834165419771,final_answer_accuracy,cot_pad,0,ood_length,parity,0.49766666666666665
0.6193834165419771,transition_consistency,cot_pad,0,ood_length,parity,0.5997741041174659
0.6193834165419771,state_accuracy,cot_pad,0,shift_biased_p02,parity,0.6492839139524433
0.6193834165419771,final_answer_accuracy,cot_pad,0,shift_biased_p02,parity,0.556
0.6193834165419771,transition_consistency,cot_pad,0,shift_biased_p02,parity,0.836340356186707
0.6193834165419771,state_accuracy,cot_pad,0,shift_biased_p08,parity,0.6727763121628538
0.6193834165419771,final_answer_accuracy,cot_pad,0,shift_biased_p08,parity,0.588
0.6193834165419771,transition_consistency,cot_pad,0,shift_biased_p08,parity,0.5959810874704492
0.6193834165419771,state_accuracy,cot_pad,0,shift_alternating,parity,0.6020659315103006
0.6193834165419771,final_answer_accuracy,cot_pad,0,shift_alternating,parity,0.535
0.6193834165419771,transition_consistency,cot_pad,0,shift_alternating,parity,0.6360960406325753
0.6193834165419771,state_accuracy,cot_pad,0,shift_zero_runs,parity,0.7626459143968871
0.6193834165419771,final_answer_accuracy,cot_pad,0,shift_zero_runs,parity,0.5643333333333334
0.6193834165419771,transition_consistency,cot_pad,0,shift_zero_runs,parity,0.8381477152557466
0.6193834165419771,state_accuracy,cot_pad,0,shift_one_runs,parity,0.6744358989412709
0.6193834165419771,final_answer_accuracy,cot_pad,0,shift_one_runs,parity,0.556
0.6193834165419771,transition_consistency,cot_pad,0,shift_one_runs,parity,0.5570833333333334
0.6193834165419771,linear_probe_dfa_state_accuracy,cot_pad,0,analysis_val,parity,0.7038167938931298
0.64525,final_answer_accuracy,direct,1,iid,parity,0.649
0.64525,final_answer_accuracy,direct,1,ood_length,parity,0.5
0.64525,final_answer_accuracy,direct,1,shift_biased_p02,parity,0.8413333333333334
0.64525,final_answer_accuracy,direct,1,shift_biased_p08,parity,0.5843333333333334
0.64525,final_answer_accuracy,direct,1,shift_alternating,parity,0.635
0.64525,final_answer_accuracy,direct,1,shift_zero_runs,parity,0.846
0.64525,final_answer_accuracy,direct,1,shift_one_runs,parity,0.5946666666666667
0.64525,linear_probe_dfa_state_accuracy,direct,1,analysis_val,parity,0.5468810179774031
0.9991665813752869,state_accuracy,cot_true,1,iid,parity,0.9990941315478535
0.9991665813752869,final_answer_accuracy,cot_true,1,iid,parity,0.9913333333333333
0.9991665813752869,transition_consistency,cot_true,1,iid,parity,0.9986049614848063
0.9991665813752869,state_accuracy,cot_true,1,ood_length,parity,0.826458184023375
0.9991665813752869,final_answer_accuracy,cot_true,1,ood_length,parity,0.504
0.9991665813752869,transition_consistency,cot_true,1,ood_length,parity,0.8234601074824307
0.9991665813752869,state_accuracy,cot_true,1,shift_biased_p02,parity,0.9991657397107898
0.9991665813752869,final_answer_accuracy,cot_true,1,shift_biased_p02,parity,0.9926666666666667
0.9991665813752869,transition_consistency,cot_true,1,shift_biased_p02,parity,0.9992854590925331
0.9991665813752869,state_accuracy,cot_true,1,shift_biased_p08,parity,0.9995536667248841
0.9991665813752869,final_answer_accuracy,cot_true,1,shift_biased_p08,parity,0.9963333333333333
0.9991665813752869,transition_consistency,cot_true,1,shift_biased_p08,parity,0.9996517903778075
0.9991665813752869,state_accuracy,cot_true,1,shift_alternating,parity,0.9995328830845287
0.9991665813752869,final_answer_accuracy,cot_true,1,shift_alternating,parity,0.994
0.9991665813752869,transition_consistency,cot_true,1,shift_alternating,parity,0.9993685781528041
0.9991665813752869,state_accuracy,cot_true,1,shift_zero_runs,parity,0.996338049771847
0.9991665813752869,final_answer_accuracy,cot_true,1,shift_zero_runs,parity,0.9773333333333334
0.9991665813752869,transition_consistency,cot_true,1,shift_zero_runs,parity,0.9979184247538678
0.9991665813752869,state_accuracy,cot_true,1,shift_one_runs,parity,0.999784169838716
0.9991665813752869,final_answer_accuracy,cot_true,1,shift_one_runs,parity,0.9976666666666667
0.9991665813752869,transition_consistency,cot_true,1,shift_one_runs,parity,0.9998821727347709
0.9991665813752869,linear_probe_dfa_state_accuracy,cot_true,1,analysis_val,parity,0.9995281627428062
0.7108476013627125,state_accuracy,cot_pad,1,iid,parity,0.712800315084679
0.7108476013627125,final_answer_accuracy,cot_pad,1,iid,parity,0.612
0.7108476013627125,transition_consistency,cot_pad,1,iid,parity,0.664159640929217
0.7108476013627125,state_accuracy,cot_pad,1,ood_length,parity,0.5857751254203649
0.7108476013627125,final_answer_accuracy,cot_pad,1,ood_length,parity,0.496
0.7108476013627125,transition_consistency,cot_pad,1,ood_length,parity,0.5714758164530798
0.7108476013627125,state_accuracy,cot_pad,1,shift_biased_p02,parity,0.8053789925313841
0.7108476013627125,final_answer_accuracy,cot_pad,1,shift_biased_p02,parity,0.6886666666666666
0.7108476013627125,transition_consistency,cot_pad,1,shift_biased_p02,parity,0.8289269977372872
0.7108476013627125,state_accuracy,cot_pad,1,shift_biased_p08,parity,0.6272923094836118
0.7108476013627125,final_answer_accuracy,cot_pad,1,shift_biased_p08,parity,0.5526666666666666
0.7108476013627125,transition_consistency,cot_pad,1,shift_biased_p08,parity,0.5076896291567524
0.7108476013627125,state_accuracy,cot_pad,1,shift_alternating,parity,0.6953619182934662
0.7108476013627125,final_answer_accuracy,cot_pad,1,shift_alternating,parity,0.6176666666666667
0.7108476013627125,transition_consistency,cot_pad,1,shift_alternating,parity,0.6353825842374146
0.7108476013627125,state_accuracy,cot_pad,1,shift_zero_runs,parity,0.7958127228804786
0.7108476013627125,final_answer_accuracy,cot_pad,1,shift_zero_runs,parity,0.6746666666666666
0.7108476013627125,transition_consistency,cot_pad,1,shift_zero_runs,parity,0.7975808720112517
0.7108476013627125,state_accuracy,cot_pad,1,shift_one_runs,parity,0.6333634187497548
0.7108476013627125,final_answer_accuracy,cot_pad,1,shift_one_runs,parity,0.5366666666666666
0.7108476013627125,transition_consistency,cot_pad,1,shift_one_runs,parity,0.5245080711676682
0.7108476013627125,linear_probe_dfa_state_accuracy,cot_pad,1,analysis_val,parity,0.7178932209049924
0.62225,final_answer_accuracy,direct,2,iid,parity,0.6246666666666667
0.62225,final_answer_accuracy,direct,2,ood_length,parity,0.499
0.62225,final_answer_accuracy,direct,2,shift_biased_p02,parity,0.6926666666666667
0.62225,final_answer_accuracy,direct,2,shift_biased_p08,parity,0.5853333333333334
0.62225,final_answer_accuracy,direct,2,shift_alternating,parity,0.6113333333333333
0.62225,final_answer_accuracy,direct,2,shift_zero_runs,parity,0.7636666666666667
0.62225,final_answer_accuracy,direct,2,shift_one_runs,parity,0.6116666666666667
0.62225,linear_probe_dfa_state_accuracy,direct,2,analysis_val,parity,0.5313660922710485
1.0,state_accuracy,cot_true,2,iid,parity,1.0
1.0,final_answer_accuracy,cot_true,2,iid,parity,1.0
1.0,transition_consistency,cot_true,2,iid,parity,1.0
1.0,state_accuracy,cot_true,2,ood_length,parity,0.8324872746334129
1.0,final_answer_accuracy,cot_true,2,ood_length,parity,0.49833333333333335
1.0,transition_consistency,cot_true,2,ood_length,parity,0.8389791474750858
1.0,state_accuracy,cot_true,2,shift_biased_p02,parity,1.0
1.0,final_answer_accuracy,cot_true,2,shift_biased_p02,parity,1.0
1.0,transition_consistency,cot_true,2,shift_biased_p02,parity,1.0
1.0,state_accuracy,cot_true,2,shift_biased_p08,parity,1.0
1.0,final_answer_accuracy,cot_true,2,shift_biased_p08,parity,1.0
1.0,transition_consistency,cot_true,2,shift_biased_p08,parity,1.0
1.0,state_accuracy,cot_true,2,shift_alternating,parity,1.0
1.0,final_answer_accuracy,cot_true,2,shift_alternating,parity,1.0
1.0,transition_consistency,cot_true,2,shift_alternating,parity,1.0
1.0,state_accuracy,cot_true,2,shift_zero_runs,parity,1.0
1.0,final_answer_accuracy,cot_true,2,shift_zero_runs,parity,1.0
1.0,transition_consistency,cot_true,2,shift_zero_runs,parity,1.0
1.0,state_accuracy,cot_true,2,shift_one_runs,parity,1.0
1.0,final_answer_accuracy,cot_true,2,shift_one_runs,parity,1.0
1.0,transition_consistency,cot_true,2,shift_one_runs,parity,1.0
1.0,linear_probe_dfa_state_accuracy,cot_true,2,analysis_val,parity,1.0
0.6837054561585095,state_accuracy,cot_pad,2,iid,parity,0.6834093177059894
0.6837054561585095,final_answer_accuracy,cot_pad,2,iid,parity,0.592
0.6837054561585095,transition_consistency,cot_pad,2,iid,parity,0.6719460922651616
0.6837054561585095,state_accuracy,cot_pad,2,ood_length,parity,0.5710758280109803
0.6837054561585095,final_answer_accuracy,cot_pad,2,ood_length,parity,0.498
0.6837054561585095,transition_consistency,cot_pad,2,ood_length,parity,0.546625073276945
0.6837054561585095,state_accuracy,cot_pad,2,shift_biased_p02,parity,0.7788355408388521
0.6837054561585095,final_answer_accuracy,cot_pad,2,shift_biased_p02,parity,0.666
0.6837054561585095,transition_consistency,cot_pad,2,shift_biased_p02,parity,0.862647246561829
0.6837054561585095,state_accuracy,cot_pad,2,shift_biased_p08,parity,0.6323030124619763
0.6837054561585095,final_answer_accuracy,cot_pad,2,shift_biased_p08,parity,0.5556666666666666
0.6837054561585095,transition_consistency,cot_pad,2,shift_biased_p08,parity,0.4711968842643725
0.6837054561585095,state_accuracy,cot_pad,2,shift_alternating,parity,0.6813837139130604
0.6837054561585095,final_answer_accuracy,cot_pad,2,shift_alternating,parity,0.594
0.6837054561585095,transition_consistency,cot_pad,2,shift_alternating,parity,0.6673504073140714
0.6837054561585095,state_accuracy,cot_pad,2,shift_zero_runs,parity,0.7703918994937183
